"Marker","pAUC","pAUC_low","pAUC_hi","Biomarker"
"AARSD1",0.00496031746031746,0,0.0242063492063492,"No"
"ABHD14B",0.00873015873015873,0,0.0319444444444444,"No"
"ABL1",0.0172619047619047,0.00476190476190476,0.0351190476190476,"No"
"ACAA1",0.00535714285714286,0,0.0220238095238095,"No"
"ACAN",0.010515873015873,0.000396825396825395,0.0337301587301587,"No"
"ACE2",0,0,0.0126994047619046,"No"
"ACOX1",0.00892857142857143,0.000595238095238095,0.0226190476190476,"No"
"ACP5",0.00476190476190476,0,0.0246031746031746,"No"
"ACP6",0.0166666666666667,0.000793650793650791,0.0444444444444444,"No"
"ACTA2",0.00813492063492063,0.000198412698412698,0.0277777777777778,"No"
"ACTN4",0.00456349206349206,0,0.0218253968253968,"No"
"ACVRL1",0.00932539682539683,0.00119047619047619,0.0228184523809522,"No"
"ACY1",0.00198412698412698,0,0.0111111111111111,"No"
"ADA",0.00555555555555555,0,0.0263888888888889,"No"
"ADA2",0.0204365079365079,0.00297619047619047,0.0502003968253965,"No"
"ADAM15",0.0113095238095238,0.00138888888888888,0.026984126984127,"No"
"ADAM22",0.0136904761904762,0.00257837301587302,0.03809623015873,"No"
"ADAM23",0.00555555555555555,0,0.0204374999999998,"No"
"ADAM8",0.0285714285714286,0.00853174603174603,0.0529761904761905,"Yes"
"ADAMTS13",0.00595238095238095,0,0.0317460317460317,"No"
"ADAMTS15",0.0117063492063492,0.000595238095238095,0.0325396825396825,"No"
"ADAMTS16",0.0121031746031746,0.000992063492063489,0.0361111111111111,"No"
"ADAMTS8",0.00575396825396826,0,0.0166676587301586,"No"
"ADCYAP1R1",0.00694444444444445,0,0.0291666666666667,"No"
"ADGRB3",0.00714285714285714,0,0.025,"No"
"ADGRE2",0.0119047619047619,0.000793650793650791,0.0359136904761903,"No"
"ADGRG1",0.0184523809523809,0.00595238095238095,0.0347232142857141,"Yes"
"ADGRG2",0.00674603174603174,0,0.0214285714285714,"No"
"ADH4",0.00992063492063491,0.000793650793650791,0.0305555555555555,"No"
"ADM",0.00297619047619047,0,0.0279761904761905,"No"
"AFP",0.00555555555555555,0,0.0166666666666667,"No"
"AGER",0.00555555555555555,0,0.0279781746031743,"No"
"AGR2",0.00952380952380951,0.000992063492063492,0.0311517857142856,"No"
"AGR3",0.00575396825396825,0,0.0160714285714286,"No"
"AGRN",0.0165674603174603,0.00416666666666667,0.0343263888888887,"No"
"AGRP",0.00416666666666666,0,0.0176587301587301,"No"
"AGXT",0.0101190476190476,0.000595238095238093,0.0267857142857143,"No"
"AHCY",0.0194444444444444,0.00436507936507936,0.0398819444444443,"No"
"AHSP",0.00555555555555555,0,0.025,"No"
"AIF1",0.0188492063492063,0.00376984126984127,0.0400793650793651,"No"
"AIFM1",0.00714285714285713,0,0.0222222222222222,"No"
"AK1",0.00218253968253968,0,0.0200396825396825,"No"
"AKR1B1",0.00138888888888889,0,0.0101190476190476,"No"
"AKR1C4",0.00297619047619047,0,0.016468253968254,"No"
"AKT1S1",0.0107142857142857,0.00138789682539683,0.0291666666666667,"No"
"AKT3",0.00912698412698412,0.000396825396825395,0.0251994047619046,"No"
"ALCAM",0.00496031746031746,0,0.027580357142857,"No"
"ALDH1A1",0.00238095238095238,0,0.0222232142857141,"No"
"ALDH3A1",0.00892857142857143,0,0.0325396825396825,"No"
"ALPP",0.00932539682539682,0,0.0327380952380952,"No"
"AMBN",0.0115079365079365,0.00178571428571429,0.0321438492063491,"No"
"AMBP",0.00456349206349206,0,0.0273819444444443,"No"
"AMFR",0.00535714285714286,0,0.0246051587301584,"No"
"AMIGO2",0.0214285714285714,0.00773809523809524,0.0392857142857143,"Yes"
"AMN",0.00496031746031746,0,0.0182549603174602,"No"
"AMY2A",0.0121031746031746,0.00218253968253968,0.0297619047619048,"No"
"AMY2B",0.0126984126984127,0.00178571428571429,0.0325396825396825,"No"
"ANG",0.00357142857142857,0,0.0242063492063492,"No"
"ANGPT1",0,0,0.0101190476190476,"No"
"ANGPT2",0.00416666666666667,0,0.0188492063492063,"No"
"ANGPTL1",0.00654761904761905,0,0.0259920634920635,"No"
"ANGPTL2",0.0148809523809524,0.00257837301587302,0.0339285714285714,"No"
"ANGPTL3",0.0125,0.00218253968253968,0.0283740079365078,"No"
"ANGPTL4",0.0123015873015873,0.000793650793650793,0.0341269841269841,"No"
"ANGPTL7",0.00476190476190476,0,0.0176587301587302,"No"
"ANKRD54",0,0,0.00734126984126984,"No"
"ANPEP",0.00773809523809524,0,0.023612103174603,"No"
"ANXA10",0.0178571428571429,0.00357142857142857,0.0390873015873016,"No"
"ANXA11",0.0130952380952381,0.000595238095238093,0.0386904761904762,"No"
"ANXA3",0.0208333333333333,0.00198412698412698,0.0486111111111111,"No"
"ANXA4",0.0150793650793651,0.000992063492063489,0.0404761904761905,"No"
"ANXA5",0.019047619047619,0.00257936507936508,0.0434543650793648,"No"
"AOC1",0.000992063492063492,0,0.0132946428571427,"No"
"AOC3",0.0128968253968254,0.00198313492063493,0.032143849206349,"No"
"APBB1IP",0.0214285714285714,0.00178571428571429,0.0519851190476189,"No"
"APEX1",0.016468253968254,0.000595238095238095,0.0488095238095238,"No"
"APLP1",0.00992063492063491,0.000992063492063492,0.0234126984126984,"No"
"APOH",0.00714285714285714,0,0.0259930555555554,"No"
"APOM",0.00972222222222222,0.000594246031746039,0.0317470238095236,"No"
"APP",0.00119047619047619,0,0.0158730158730159,"No"
"APRT",0.00833333333333333,0.000396825396825395,0.0265873015873016,"No"
"AREG",0.00555555555555555,0,0.0180565476190475,"No"
